siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,Br,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,lastDate
NH02,Annual,1978,31,40,72,0.116,0.065,0.020,0.144,0.124,1.910,0.565,2.283,-9.000,4.200,24.584,18144.301,39.978,15,161,"1978-07-25 00:00","1979-01-02 00:00"
NH02,Annual,1979,92,100,95,0.102,0.033,0.017,0.389,0.103,1.374,0.326,2.066,-9.000,4.418,20.455,71447.297,121.820,43,365,"1979-01-02 00:00","1980-01-02 00:00"
NH02,Annual,1980,93,100,93,0.108,0.031,0.018,0.231,0.163,1.839,0.271,2.463,-9.000,4.262,26.422,57920.602,92.888,43,363,"1980-01-02 00:00","1980-12-30 00:00"
NH02,Annual,1981,100,100,100,0.128,0.043,0.016,0.116,0.206,1.313,0.189,2.328,-9.000,4.335,26.610,98863.594,151.488,50,364,"1980-12-30 00:00","1981-12-29 00:00"
NH02,Annual,1982,87,100,90,0.076,0.026,0.015,0.088,0.177,1.551,0.146,1.992,-9.000,4.338,25.196,56830.195,101.601,42,371,"1981-12-29 00:00","1983-01-04 00:00"
NH02,Annual,1983,90,100,91,0.066,0.022,0.020,0.075,0.167,1.182,0.142,1.645,-9.000,4.434,19.600,77147.805,130.783,45,364,"1983-01-04 00:00","1984-01-03 00:00"
NH02,Annual,1984,94,100,99,0.078,0.026,0.024,0.090,0.166,1.282,0.158,1.658,-9.000,4.411,20.159,80023.508,125.515,46,365,"1984-01-03 00:00","1985-01-02 00:00"
NH02,Annual,1985,79,100,67,0.069,0.024,0.015,0.071,0.163,1.528,0.145,1.799,-9.000,4.339,23.712,42789.004,100.202,39,363,"1985-01-02 00:00","1985-12-31 00:00"
NH02,Annual,1986,96,100,99,0.041,0.012,0.009,0.046,0.139,1.195,0.098,1.906,-9.000,4.354,22.110,77964.617,124.660,50,364,"1985-12-31 00:00","1986-12-30 00:00"
NH02,Annual,1987,96,100,98,0.049,0.016,0.014,0.085,0.152,1.165,0.159,1.627,-9.000,4.430,18.977,66920.102,110.550,45,364,"1986-12-30 00:00","1987-12-29 00:00"
NH02,Annual,1988,91,100,95,0.089,0.022,0.012,0.106,0.150,1.569,0.177,2.174,-9.000,4.315,24.350,54840.496,92.329,47,371,"1987-12-29 00:00","1989-01-03 00:00"
NH02,Annual,1989,96,100,99,0.066,0.018,0.014,0.095,0.243,1.491,0.180,1.866,-9.000,4.374,22.177,82582.203,129.169,46,364,"1989-01-03 00:00","1990-01-02 00:00"
NH02,Annual,1990,87,100,85,0.043,0.014,0.009,0.075,0.146,1.157,0.149,1.561,-9.000,4.435,19.336,83705.300,153.146,42,364,"1990-01-02 00:00","1991-01-01 00:00"
NH02,Annual,1991,94,100,96,0.046,0.009,0.011,0.044,0.159,1.339,0.097,1.801,-9.000,4.359,21.753,75359.900,120.689,47,363,"1991-01-01 00:00","1991-12-30 00:00"
NH02,Annual,1992,98,100,100,0.042,0.013,0.011,0.098,0.171,1.379,0.175,1.738,-9.000,4.385,21.569,72006.400,112.143,48,365,"1991-12-30 00:00","1992-12-29 00:00"
NH02,Annual,1993,88,100,93,0.041,0.023,0.016,0.163,0.142,1.361,0.272,1.508,-9.000,4.444,19.318,63118.300,107.415,47,371,"1992-12-29 00:00","1994-01-04 00:00"
NH02,Annual,1994,96,100,95,0.052,0.011,0.011,0.054,0.202,1.486,0.102,1.590,-9.000,4.376,21.597,64072.100,105.970,47,364,"1994-01-04 00:00","1995-01-03 00:00"
NH02,Annual,1995,81,100,88,0.046,0.016,0.014,0.122,0.220,1.407,0.199,1.424,-9.000,4.412,20.459,63947.600,115.771,37,364,"1995-01-03 00:00","1996-01-02 00:00"
NH02,Annual,1996,96,100,95,0.048,0.020,0.016,0.163,0.164,1.169,0.280,1.297,-9.000,4.480,17.968,93967.000,152.386,47,363,"1996-01-02 00:00","1996-12-30 00:00"
NH02,Annual,1997,80,100,79,0.046,0.011,0.013,0.059,0.199,1.476,0.123,1.552,-9.000,4.394,21.029,55725.100,107.235,41,364,"1996-12-30 00:00","1997-12-29 00:00"
NH02,Annual,1998,94,100,100,0.060,0.012,0.016,0.037,0.172,1.270,0.093,1.369,-9.000,4.450,18.386,79873.397,124.192,46,365,"1997-12-29 00:00","1998-12-29 00:00"
NH02,Annual,1999,88,100,92,0.059,0.017,0.020,0.104,0.141,1.075,0.199,1.189,-9.000,4.537,16.495,71808.700,120.459,43,364,"1998-12-29 00:00","1999-12-28 00:00"
NH02,Annual,2000,96,100,94,0.058,0.010,0.017,0.046,0.178,1.210,0.098,1.300,-9.000,4.498,17.365,74461.000,123.368,50,371,"1999-12-28 00:00","2001-01-02 00:00"
NH02,Annual,2001,98,100,99,0.056,0.010,0.011,0.052,0.148,1.256,0.108,1.133,-9.000,4.521,16.744,55641.700,90.373,46,364,"2001-01-02 00:00","2002-01-01 00:00"
NH02,Annual,2002,94,100,98,0.056,0.010,0.011,0.049,0.190,1.106,0.100,1.149,-9.000,4.594,15.237,73320.700,116.192,47,363,"2002-01-01 00:00","2002-12-30 00:00"
NH02,Annual,2003,94,100,100,0.048,0.014,0.012,0.099,0.125,0.872,0.190,1.052,-9.000,4.602,14.413,89008.700,139.535,48,365,"2002-12-30 00:00","2003-12-30 00:00"
NH02,Annual,2004,96,100,99,0.051,0.010,0.011,0.063,0.153,1.043,0.124,1.157,-9.000,4.523,15.555,76391.900,120.294,42,364,"2003-12-30 00:00","2004-12-28 00:00"
NH02,Annual,2005,96,100,100,0.038,0.010,0.012,0.073,0.142,0.714,0.134,0.977,-9.000,4.661,12.466,99859.700,156.794,48,371,"2004-12-28 00:00","2006-01-03 00:00"
NH02,Annual,2006,94,100,98,0.046,0.012,0.017,0.073,0.118,0.695,0.140,0.838,-9.000,4.694,11.298,87752.000,138.303,46,364,"2006-01-03 00:00","2007-01-02 00:00"
NH02,Annual,2007,96,100,97,0.054,0.011,0.014,0.053,0.230,0.840,0.108,1.249,-9.000,4.616,13.619,78401.200,127.089,47,364,"2007-01-02 00:00","2008-01-01 00:00"
NH02,Annual,2008,88,100,93,0.045,0.010,0.011,0.060,0.122,0.738,0.113,0.804,-9.000,4.700,10.691,95777.300,156.033,41,364,"2008-01-01 00:00","2008-12-30 00:00"
NH02,Annual,2009,94,100,100,0.040,0.008,0.010,0.050,0.116,0.620,0.090,0.612,-9.000,4.831,8.497,90798.500,137.696,46,364,"2008-12-30 00:00","2009-12-29 00:00"
NH02,Annual,2010,96,100,97,0.053,0.014,0.014,0.082,0.125,0.534,0.154,0.572,-9.000,4.903,7.816,83137.800,130.000,44,364,"2009-12-29 00:00","2010-12-28 00:00"
NH02,Annual,2011,88,100,94,0.038,0.011,0.014,0.060,0.133,0.587,0.109,0.496,-9.000,4.928,7.336,93178.500,151.298,45,371,"2010-12-28 00:00","2012-01-03 00:00"
NH02,Annual,2012,79,100,80,0.056,0.011,0.016,0.042,0.188,0.718,0.073,0.567,-9.000,4.911,7.661,68051.200,130.404,38,364,"2012-01-03 00:00","2013-01-01 00:00"
NH02,Annual,2013,96,100,97,0.042,0.010,0.016,0.049,0.173,0.698,0.088,0.518,0.003,4.953,7.711,74854.900,119.261,45,364,"2013-01-01 00:00","2013-12-31 00:00"
NH02,Annual,2014,92,100,94,0.035,0.008,0.010,0.047,0.111,0.472,0.084,0.332,0.002,5.044,5.700,79926.600,134.374,46,364,"2013-12-31 00:00","2014-12-30 00:00"
NH02,Annual,2015,76,100,62,0.042,0.011,0.010,0.059,0.135,0.641,0.108,0.314,0.003,5.022,6.264,48386.100,122.340,37,365,"2014-12-30 00:00","2015-12-30 00:00"
NH02,Annual,2016,92,100,95,0.051,0.013,0.012,0.069,0.165,0.543,0.125,0.309,0.002,5.188,5.252,69271.300,109.118,45,365,"2015-12-30 00:00","2016-12-29 00:00"
NH02,Annual,2017,86,98,97,0.059,0.013,0.015,0.063,0.179,0.694,0.115,0.300,0.002,5.048,6.152,75628.400,124.048,39,369,"2016-12-29 00:00","2018-01-02 00:00"
